[2021-04-01 22:46:47 982173]	audio Render timestamp: 8367 19
[2021-04-01 22:46:47 987669]	receive audio timestamp: 8487
[2021-04-01 22:46:48 008404]	audio Render timestamp: 8388 21
[2021-04-01 22:46:48 022021]	audio Render timestamp: 8407 19
[2021-04-01 22:46:48 035549]	receive audio timestamp: 8507
[2021-04-01 22:46:48 035598]	receive audio timestamp: 8428
[2021-04-01 22:46:48 035614]	receive audio timestamp: 8407
[2021-04-01 22:46:48 035627]	receive audio timestamp: 8527
[2021-04-01 22:46:48 050123]	audio Render timestamp: 8428 21
[2021-04-01 22:46:48 062446]	audio Render timestamp: 8448 20
[2021-04-01 22:46:48 089920]	audio Render timestamp: 8468 20
[2021-04-01 22:46:48 102974]	audio Render timestamp: 8487 19
[2021-04-01 22:46:48 130197]	audio Render timestamp: 8507 20
[2021-04-01 22:46:48 143577]	audio Render timestamp: 8527 20
[2021-04-01 22:46:48 185910]	receive audio timestamp: 8548
[2021-04-01 22:46:48 185965]	receive audio timestamp: 8608
[2021-04-01 22:46:48 185988]	receive audio timestamp: 8568
[2021-04-01 22:46:48 186005]	receive audio timestamp: 8587
[2021-04-01 22:46:48 186021]	receive audio timestamp: 8628
[2021-04-01 22:46:48 186065]	receive audio timestamp: 8647
[2021-04-01 22:46:48 186180]	receive audio timestamp: 8667
[2021-04-01 22:46:48 190297]	receive audio timestamp: 8687
[2021-04-01 22:46:48 211211]	audio Render timestamp: 8587 60
[2021-04-01 22:46:48 225177]	audio Render timestamp: 8608 21
[2021-04-01 22:46:48 251333]	audio Render timestamp: 8628 20
[2021-04-01 22:46:48 264869]	audio Render timestamp: 8647 19
[2021-04-01 22:46:48 291798]	audio Render timestamp: 8667 20
[2021-04-01 22:46:48 305364]	audio Render timestamp: 8687 20
[2021-04-01 22:46:48 336636]	receive audio timestamp: 8708
[2021-04-01 22:46:48 338435]	receive audio timestamp: 8727
[2021-04-01 22:46:48 338922]	receive audio timestamp: 8747
[2021-04-01 22:46:48 338952]	receive audio timestamp: 8768
[2021-04-01 22:46:48 338973]	receive audio timestamp: 8788
[2021-04-01 22:46:48 339008]	receive audio timestamp: 8808
[2021-04-01 22:46:48 339030]	receive audio timestamp: 8708
[2021-04-01 22:46:48 339051]	receive audio timestamp: 8828
[2021-04-01 22:46:48 346148]	audio Render timestamp: 8727 40
[2021-04-01 22:46:48 373626]	audio Render timestamp: 8747 20
[2021-04-01 22:46:48 386522]	audio Render timestamp: 8768 21
[2021-04-01 22:46:48 413688]	audio Render timestamp: 8788 20
[2021-04-01 22:46:48 427020]	audio Render timestamp: 8808 20
[2021-04-01 22:46:48 454069]	audio Render timestamp: 8828 20
[2021-04-01 22:46:48 454119]	packet list size:5
[2021-04-01 22:46:48 488709]	receive audio timestamp: 8847
[2021-04-01 22:46:48 489352]	receive audio timestamp: 8868
[2021-04-01 22:46:48 489374]	receive audio timestamp: 8908
[2021-04-01 22:46:48 489395]	receive audio timestamp: 8888
[2021-04-01 22:46:48 489410]	receive audio timestamp: 8928
[2021-04-01 22:46:48 489456]	receive audio timestamp: 8947
[2021-04-01 22:46:48 489505]	receive audio timestamp: 8967
[2021-04-01 22:46:48 489522]	receive audio timestamp: 8987
[2021-04-01 22:46:48 508375]	audio Render timestamp: 8888 60
[2021-04-01 22:46:48 521747]	audio Render timestamp: 8908 20
[2021-04-01 22:46:48 549548]	audio Render timestamp: 8928 20
[2021-04-01 22:46:48 564782]	audio Render timestamp: 8947 19
[2021-04-01 22:46:48 590582]	audio Render timestamp: 8967 20
[2021-04-01 22:46:48 602889]	audio Render timestamp: 8987 20
[2021-04-01 22:46:48 656889]	net delay time:238
[2021-04-01 22:46:48 657373]	net delay time:201
[2021-04-01 22:46:48 657529]	receive audio timestamp: 9049
[2021-04-01 22:46:48 657571]	receive audio timestamp: 9028
[2021-04-01 22:46:48 657593]	receive audio timestamp: 9009
[2021-04-01 22:46:48 657613]	receive audio timestamp: 9069
[2021-04-01 22:46:48 657639]	receive audio timestamp: 9090
[2021-04-01 22:46:48 657660]	receive audio timestamp: 9028
[2021-04-01 22:46:48 657928]	receive audio timestamp: 9009
[2021-04-01 22:46:48 657959]	receive audio timestamp: 9112
[2021-04-01 22:46:48 658318]	receive audio timestamp: 9133
[2021-04-01 22:46:48 670706]	audio Render timestamp: 9049 62
[2021-04-01 22:46:48 683815]	audio Render timestamp: 9069 20
[2021-04-01 22:46:48 710924]	audio Render timestamp: 9090 21
[2021-04-01 22:46:48 724835]	audio Render timestamp: 9112 22
[2021-04-01 22:46:48 750466]	receive audio timestamp: 9189
[2021-04-01 22:46:48 750673]	receive audio timestamp: 9208
[2021-04-01 22:46:48 751248]	receive audio timestamp: 9151
[2021-04-01 22:46:48 751313]	receive audio timestamp: 9169
[2021-04-01 22:46:48 751360]	receive audio timestamp: 9229
[2021-04-01 22:46:48 751644]	audio Render timestamp: 9133 21
[2021-04-01 22:46:48 764950]	audio Render timestamp: 9151 18
[2021-04-01 22:46:48 767351]	receive audio timestamp: 9249
[2021-04-01 22:46:48 779312]	receive audio timestamp: 9151
[2021-04-01 22:46:48 779367]	receive audio timestamp: 9169
[2021-04-01 22:46:48 781158]	receive audio timestamp: 9269
[2021-04-01 22:46:48 791848]	audio Render timestamp: 9169 18
[2021-04-01 22:46:48 805534]	audio Render timestamp: 9189 20
[2021-04-01 22:46:48 810425]	receive audio timestamp: 9289
[2021-04-01 22:46:48 832997]	audio Render timestamp: 9208 19
[2021-04-01 22:46:48 846274]	audio Render timestamp: 9229 21
[2021-04-01 22:46:48 869781]	receive audio timestamp: 9328
[2021-04-01 22:46:48 870034]	receive audio timestamp: 9309
[2021-04-01 22:46:48 870103]	receive audio timestamp: 9348
[2021-04-01 22:46:48 872959]	audio Render timestamp: 9249 20
[2021-04-01 22:46:48 874697]	receive audio timestamp: 9368
[2021-04-01 22:46:48 886430]	audio Render timestamp: 9269 20
[2021-04-01 22:46:48 894936]	receive audio timestamp: 9388
[2021-04-01 22:46:48 913559]	audio Render timestamp: 9289 20
[2021-04-01 22:46:48 919888]	receive audio timestamp: 9309
[2021-04-01 22:46:48 919968]	receive audio timestamp: 9408
[2021-04-01 22:46:48 920035]	receive audio timestamp: 9328
[2021-04-01 22:46:48 927231]	audio Render timestamp: 9309 20
[2021-04-01 22:46:48 935819]	receive audio timestamp: 9309
[2021-04-01 22:46:48 941997]	receive audio timestamp: 9429
[2021-04-01 22:46:48 953841]	audio Render timestamp: 9328 19
[2021-04-01 22:46:48 967519]	audio Render timestamp: 9348 20
[2021-04-01 22:46:48 994415]	audio Render timestamp: 9368 20
[2021-04-01 22:46:49 007931]	audio Render timestamp: 9388 20
[2021-04-01 22:46:49 021544]	audio Render timestamp: 9408 20
[2021-04-01 22:46:49 027315]	receive audio timestamp: 9449
[2021-04-01 22:46:49 029172]	receive audio timestamp: 9469
[2021-04-01 22:46:49 029788]	receive audio timestamp: 9509
[2021-04-01 22:46:49 030035]	receive audio timestamp: 9489
[2021-04-01 22:46:49 046799]	receive audio timestamp: 9528
[2021-04-01 22:46:49 050494]	audio Render timestamp: 9429 21
[2021-04-01 22:46:49 062284]	audio Render timestamp: 9449 20
[2021-04-01 22:46:49 066645]	receive audio timestamp: 9549
[2021-04-01 22:46:49 088904]	audio Render timestamp: 9469 20
[2021-04-01 22:46:49 102438]	audio Render timestamp: 9489 20
[2021-04-01 22:46:49 114479]	receive audio timestamp: 9569
[2021-04-01 22:46:49 114617]	receive audio timestamp: 9489
[2021-04-01 22:46:49 114664]	receive audio timestamp: 9589
[2021-04-01 22:46:49 130074]	audio Render timestamp: 9509 20
[2021-04-01 22:46:49 143547]	audio Render timestamp: 9528 19
[2021-04-01 22:46:49 170216]	audio Render timestamp: 9549 21
[2021-04-01 22:46:49 174227]	receive audio timestamp: 9609
[2021-04-01 22:46:49 174281]	receive audio timestamp: 9650
[2021-04-01 22:46:49 174463]	receive audio timestamp: 9629
[2021-04-01 22:46:49 175696]	receive audio timestamp: 9669
[2021-04-01 22:46:49 183031]	audio Render timestamp: 9569 20
[2021-04-01 22:46:49 210357]	audio Render timestamp: 9589 20
[2021-04-01 22:46:49 224337]	audio Render timestamp: 9609 20
[2021-04-01 22:46:49 250742]	audio Render timestamp: 9629 20
[2021-04-01 22:46:49 251053]	receive audio timestamp: 9689
[2021-04-01 22:46:49 251098]	receive audio timestamp: 9629
[2021-04-01 22:46:49 251120]	receive audio timestamp: 9714
[2021-04-01 22:46:49 251146]	receive audio timestamp: 9732
[2021-04-01 22:46:49 264215]	audio Render timestamp: 9650 21
[2021-04-01 22:46:49 291728]	audio Render timestamp: 9669 19
[2021-04-01 22:46:49 304970]	audio Render timestamp: 9689 20
[2021-04-01 22:46:49 308513]	receive audio timestamp: 9789
[2021-04-01 22:46:49 308617]	receive audio timestamp: 9752
[2021-04-01 22:46:49 308666]	receive audio timestamp: 9769
[2021-04-01 22:46:49 308713]	receive audio timestamp: 9808
[2021-04-01 22:46:49 332733]	audio Render timestamp: 9714 25
[2021-04-01 22:46:49 347156]	audio Render timestamp: 9732 18
[2021-04-01 22:46:49 352807]	receive audio timestamp: 9829
[2021-04-01 22:46:49 352933]	receive audio timestamp: 9849
[2021-04-01 22:46:49 356053]	receive audio timestamp: 9769
[2021-04-01 22:46:49 356166]	receive audio timestamp: 9752
[2021-04-01 22:46:49 369964]	receive audio timestamp: 9868
[2021-04-01 22:46:49 372686]	audio Render timestamp: 9752 20
[2021-04-01 22:46:49 413531]	audio Render timestamp: 9789 37
[2021-04-01 22:46:49 426610]	audio Render timestamp: 9808 19
[2021-04-01 22:46:49 453817]	audio Render timestamp: 9829 21
[2021-04-01 22:46:49 466639]	audio player userid:4772 delay:39 jitter:95
[2021-04-01 22:46:49 466680]	audio Render timestamp: 9849 20
[2021-04-01 22:46:49 474569]	receive audio timestamp: 9951
[2021-04-01 22:46:49 474632]	receive audio timestamp: 9932
[2021-04-01 22:46:49 474665]	receive audio timestamp: 9891
[2021-04-01 22:46:49 474685]	receive audio timestamp: 9911
[2021-04-01 22:46:49 474705]	receive audio timestamp: 9972
[2021-04-01 22:46:49 488292]	receive audio timestamp: 9991
[2021-04-01 22:46:49 493569]	audio Render timestamp: 9868 19
[2021-04-01 22:46:49 534045]	audio Render timestamp: 9911 43
[2021-04-01 22:46:49 547899]	audio Render timestamp: 9932 21
[2021-04-01 22:46:49 560706]	audio Render timestamp: 9951 19
[2021-04-01 22:46:49 588784]	audio Render timestamp: 9972 21
[2021-04-01 22:46:49 601818]	audio Render timestamp: 9991 19
[2021-04-01 22:46:49 627281]	receive audio timestamp: 9911
[2021-04-01 22:46:49 627360]	receive audio timestamp: 9891
[2021-04-01 22:46:49 628415]	receive audio timestamp: 10013
[2021-04-01 22:46:49 628462]	receive audio timestamp: 10032
[2021-04-01 22:46:49 628494]	receive audio timestamp: 10050
[2021-04-01 22:46:49 628515]	receive audio timestamp: 10109
[2021-04-01 22:46:49 628686]	receive audio timestamp: 10069
[2021-04-01 22:46:49 628715]	receive audio timestamp: 10089
[2021-04-01 22:46:49 628737]	receive audio timestamp: 10128
[2021-04-01 22:46:49 630417]	audio Render timestamp: 10013 22
[2021-04-01 22:46:49 641947]	audio Render timestamp: 10050 37
[2021-04-01 22:46:49 647597]	receive audio timestamp: 10149
[2021-04-01 22:46:49 669051]	audio Render timestamp: 10069 19
[2021-04-01 22:46:49 688620]	audio Render timestamp: 10089 20
[2021-04-01 22:46:49 713808]	audio Render timestamp: 10109 20
[2021-04-01 22:46:49 723164]	audio Render timestamp: 10128 19
[2021-04-01 22:46:49 749903]	audio Render timestamp: 10149 21
[2021-04-01 22:46:49 780126]	receive audio timestamp: 10050
[2021-04-01 22:46:49 780647]	receive audio timestamp: 10069
[2021-04-01 22:46:49 780697]	receive audio timestamp: 10169
[2021-04-01 22:46:49 780728]	net delay time:219
[2021-04-01 22:46:49 780831]	receive audio timestamp: 10069
[2021-04-01 22:46:49 780862]	receive audio timestamp: 10089
[2021-04-01 22:46:49 780888]	receive audio timestamp: 10189
[2021-04-01 22:46:49 780920]	receive audio timestamp: 10229
[2021-04-01 22:46:49 780950]	receive audio timestamp: 10209
[2021-04-01 22:46:49 780978]	receive audio timestamp: 10252
[2021-04-01 22:46:49 781004]	receive audio timestamp: 10270
[2021-04-01 22:46:49 783096]	receive audio timestamp: 10289
[2021-04-01 22:46:49 790839]	audio Render timestamp: 10189 40
[2021-04-01 22:46:49 804853]	audio Render timestamp: 10209 20
[2021-04-01 22:46:49 805328]	receive audio timestamp: 10309
[2021-04-01 22:46:49 811102]	receive audio timestamp: 10209
[2021-04-01 22:46:49 824450]	receive audio timestamp: 10329
[2021-04-01 22:46:49 831364]	audio Render timestamp: 10229 20
[2021-04-01 22:46:49 844596]	audio Render timestamp: 10252 23
[2021-04-01 22:46:49 872014]	audio Render timestamp: 10270 18
[2021-04-01 22:46:49 886402]	audio Render timestamp: 10289 19
[2021-04-01 22:46:49 912080]	audio Render timestamp: 10309 20
[2021-04-01 22:46:49 925455]	audio Render timestamp: 10329 20
[2021-04-01 22:46:50 011553]	receive audio timestamp: 10369
[2021-04-01 22:46:50 012475]	receive audio timestamp: 10389
[2021-04-01 22:46:50 012540]	receive audio timestamp: 10408
[2021-04-01 22:46:50 012829]	receive audio timestamp: 10349
[2021-04-01 22:46:50 012876]	receive audio timestamp: 10428
[2021-04-01 22:46:50 013338]	receive audio timestamp: 10449
[2021-04-01 22:46:50 013420]	receive audio timestamp: 10469
[2021-04-01 22:46:50 013482]	receive audio timestamp: 10489
[2021-04-01 22:46:50 013496]	AudioJitter last jitter:95 local delay:100
[2021-04-01 22:46:50 013510]	Audio Jitter local delaytime:100 60 45 jitter:98 err:-5
[2021-04-01 22:46:50 013524]	Audio Jitter local read delay:100 set delay:[hi:98 adc:0]
